Smiles,NET_pIC50_rat,DAT_pIC50_rat,DAT_pIC50_human,B1_pEC50_human,B3_pEC50_human,A1a_pEC50_human,B2_pEC50_human
CC(Cc1cccc(CC(=O)NCCCCN(C)C(=O)CCN2CCC(CC2)OC(=O)Nc3ccccc3c4ccccc4)c1)NC[C@H](O)c5ccc(O)c6NC(=O)C=Cc56,,,,,,,9
Clc1ccc(Sc2ccccc2C3=NCCN3)cc1,,6.494850022,,,,,
CNC1CC(c2ccc(Br)cc2)c3ccccc13,9.522878745,8.602059991,,,,,
[O-][S@+](Cc1cccs1)[C@H](c2ccccc2)c3ccc(Br)cc3,,,5.823908741,,,,
Fc1ccc(cc1)C(OCCN2CCN(C\C=C\c3cccnc3)CC2)c4ccc(F)cc4,,7.853871964,,,,,
CN1C2CCC1C(C(C2)c3ccccc3)C(=O)OC\C=C\I,,6.057495894,,,,,
CNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2,,,,,7,,
O[C@@H](CNCCc1ccc(NC(=O)c2ccccc2)cc1)COc3cccc4[nH]ccc34,,,,7.443697499,,,6.928117993
CCCc1onc(n1)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3,,,,,7.060480747,,
CNCCCNC1(CCCCC1)c2cc3ccccc3s2,,7.050609993,,,,,
CCCCN(C1CCNCC1)S(=O)(=O)c2ccc3ccccc3c2,,,4.721246399,,,,
CNC[C@@H](O)[C@@H](N1CC(C)(C)c2cccc(F)c12)c3cccc(F)c3,,,4.641418003,,,,
CSc1cc(Oc2cccc(F)c2)nc(n1)N3CCC4(CC3)CNCCO4,,,8.07007044,,,,
Fc1ccc(CN2CCC(CC2)Oc3ccc(cc3)C(=O)N4CCCC4)cc1,,,,,,,5.277037191
CCCc1ccc(cc1)C2CC3CCC(N3)C2C(=O)OC,6.274088368,6.673664139,,,,,
CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCc2ccc(Cl)c(Cl)c2)cc1,,,6.301029996,,,,
Fc1ccc(cc1)[C@H]2C[C@H](N3CCNCC3)c4ccccc24,6.853871964,6.657577319,,,,,
COc1ccc(cc1OC)C2=NN(CCCCCNCC[C@@H](Oc3cccc4ccccc34)c5cccs5)C(=O)[C@@H]6CC=CC[C@H]26,,,5.74641971,,,,
Cc1cc(O)cc(C)c1CNC(=O)Cc2cccc(CC(C)(C)NC[C@H](O)c3ccc(O)c(NS(=O)(=O)C)c3)c2,,,,,,,10.30103
CNC[C@@H](O)[C@@H](N1CC(C)(C)c2cccc(F)c12)c3ccccc3,,,4.679293026,,,,
CN(C)C1CC(c2ccccc2)c3ccccc13,6.886056648,7.387216143,,,,,
CCc1ccc(CC)c2CC(Cc12)NC[C@H](O)c3ccc(O)c4NC(=O)C=Cc34,,,,,,,6.93930216
CC(Cc1cccc(CNC(=O)c2ccc(C)c(c2)N(C)C(=O)CCN3CCC(CC3)OC(=O)Nc4ccccc4c5ccccc5)c1)NC[C@H](O)c6ccc(O)c7NC(=O)C=Cc67,,,,,,,9
O=S1(=O)N(C[C@@H]2CNCCO2)c3ccccc3N1c4ccccc4,,,6.101274818,,,,
O[C@@H](CNCCc1ccc(NC(=S)NC2CCCCC2)cc1)COc3ccccc3,,,,7.301029996,5.853871964,,7.522878745
FC(F)Oc1ccc(nn1)c2cc3CNCC(c4ccc(Cl)c(Cl)c4)c3cc2F,,,7.48148606,,,,
CCCCCCCCc1oc(nc1)N2CCc3cc(ccc23)S(=O)(=O)Nc4ccccc4,,,,,8.431798276,,
Clc1ccc(CN(C2CCCCC2)C3CNC3)cc1,,,6.273272791,,,,
O=C(Nc1ccccc1)c2ccccc2CCc3ccccc3,,,,,,,5.769551079
Cc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cs1,,,,,6.987162775,,
Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2C(=C)CN34,,,7.173925197,,,,
Clc1ccc(cc1Cl)C2CC(N3CCCC3)c4ccccc24,7.568636236,7.494850022,,,,,
CN1C2CCC1[C@H]([C@H](C2)c3ccccc3)c4ccc(C)cc4,,,7.649751982,,,,
CN(C)C\C=C(\c1ccc(Br)cc1)/c2cccnc2,4.920818754,4.366531544,,,,,
COc1ccc(cc1)[C@](C)(NC[C@H](O)c2ccc(O)c(NS(=O)(=O)C)c2)C(=O)Nc3cc(Cl)c(Cl)c(Cl)c3,,,,4.468521083,,,
CC(C)(Cc1ccccc1)NCC(O)c2cc(O)cc3NC(=O)COc23,,,,7.455931956,,,8.619788758
CCCCCCc1onc(n1)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3,,,,,7.455931956,,
CNCC1(O)Cc2ccccc2C1Oc3ccccc3C,,,5.568636236,,,,
Cc1ccc(cc1)[C@H]2C[C@H]3CCC4C2[C@](O)(CN34)c5ccccc5,,,7.050609993,,,,
CC(C)(Cc1ccc(NS(=O)(=O)NC2CCCCC2)cc1)NC[C@H](O)c3cccnc3,,,,,7.602059991,,
COC(=O)[C@@H]([C@@H]1CCCCO1)c2ccc(Cl)c(Cl)c2,,,6.714442691,,,,
OC(CNC1CCN(CC1)c2ncnc3scc(c4cccs4)c23)COc5ccc(O)cc5,,,,8.744727495,9,,
CC(C)OC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)c(Cl)c3)N2C,,8.568636236,,,,,
Clc1ccc(cc1Cl)C2(CN3CCOCC3)CCCCC2,,,8.698970004,,,,
CCC(=O)C1C2CCC(CC1c3ccc(cc3)C(C)(C)C)N2C,,5.673664139,,,,,
C[C@H](CNc1cccc(c1)c2occc2C(=O)O)NC[C@H](O)c3cccc(Cl)c3,,,,7,,,6.899629455
CCc1nc(C[S+]([O-])C(c2ccccc2)c3ccccc3)cs1,,,4.834458923,,,,
CN1[C@@H]2CCC1C([C@H](C2)c3ccc(C)cc3)c4ccccc4,6.318758763,8.698970004,,,,,
OCC(NCCc1cccc(Cl)c1)c2ccc(O)c3NC(=O)C=Cc23,,,,5.500038134,,,8.602059991
Cc1cc(ccc1c2ccc3CC[C@@H](Cc3c2)NC[C@H](O)c4ccc(Cl)cc4)C(=O)O,,,,6.096910013,8.698970004,,
CC1CN(CCCn2c3ccccc3c4ccccc24)CC(C)N1CCCN=C=S,,6.281498311,,,,,
COC(=O)C1CN(C)CC[C@@H]1OC(=O)c2ccc(I)cc2,,5.093449481,,,,,
CC(C)CN(Cc1ccc2ccccc2c1)[C@@H]3CCNC3,,,7.180456064,,,,
Fc1ccc(cc1)N(CCCN2CCN(CCCc3ccccc3)CC2)c4ccc(F)cc4,,7.709965389,,,,,
C[C@H](Cc1c[nH]c2c(OS(=O)(=O)C)cccc12)NC[C@H](O)c3cccc(NCc4ccccc4)c3,,,,,7.958607315,,7.795880017
CCCC(N1CCCC1)C(=O)c2ccc(cc2)c3occc3,,,6.913640169,,,,
FC(F)(F)c1ccc(nn1)c2ccc3C(CCNc3c2)c4ccc(Cl)cc4,,,6.860120914,,,,
C(Oc1ccccc1c2cc[nH]n2)C3=NCCN3,,,,,,8.301029996,
OC(CNCCNC(=O)Nc1ccc(O)cc1)COc2ccc(OCCOCC3CC3)cc2C#N,,,,8.638272164,5,,5
C(CN1CCNCC1)OC(c2ccccc2)c3ccccc3,,6.958607315,,,,,
C[C@H](Cc1cccc(CC(=O)NCc2ccc(Cl)c(Cl)c2)c1)NC[C@H](O)c3ccc(O)c(CO)c3,,,,,,,10.69897
Clc1ccc(cc1Cl)C(CCN2CCC(=CC2)Cc3ccccc3)N4CCCC4,,,6.536107011,,,,
CNC[C@@]1(O)Cc2ccccc2[C@H]1Oc3ccccc3C,,,5.638272164,,,,
CC1(C)Cc2c(CO1)c(nc3sc4c(ncnc4c23)N5CCN(CCO)CC5)N6CCCC6,,,,,,,5.76700389
COc1cccc(c1)S(=O)(=O)Nc2cccc(c2)[C@@H](O)CNCCc3c[nH]c4c(cccc34)S(=O)(=O)C,,,,,9.026872146,,
CC(C)c1n[nH]c2cc(OCCNC[C@H](O)c3cccc(NS(=O)(=O)C)c3)ccc12,,,,,7.886056648,,
COCc1c(Cl)ccc2[C@@H](CCc12)c3ncc[nH]3,,,,,,7.568636236,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(cc2)N3CCN(CCCc4ccccc4)C3=O)cc1)c5cccnc5,,,,,8.37675071,,
C(Cc1ccccc1)C(Cc2ccccc2)N3CCNCC3,,,6.397940009,,,,
CC(C)(C)Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)NC[C@H](O)COc3cccc4[nH]c5ccccc5c34,,,,,6.036212173,,
[O-][S+](Cc1nccs1)C(c2ccc(Cl)cc2)c3ccc(Cl)cc3,,,5.018634491,,,,
[O-][S+](Cc1csc(Cl)n1)C(c2ccccc2)c3ccccc3,,,5.519993057,,,,
COc1cc(ccc1C(=O)O)c2ccc3CC[C@@H](Cc3c2)NC[C@H](O)c4ccc(Cl)cc4,,,,,9.107905397,,
COc1cc(Cl)ccc1Oc2cc(C)ncc2CN(C)C,,,5.297569464,,,,
CC(C)CC(=O)Nc1ccc(CCNC(CO)c2ccc(O)c3NC(=O)C=Cc23)cc1,,,,,,,6.199970641
CNC[C@H](O)CCN1c2ccccc2N(c3c(F)cccc3F)S1(=O)=O,,,5.259637311,,,,
Fc1ccc(cc1)N(CCCN2CCN(CCc3ccc(N=[N+]=[N-])c(I)c3)CC2)c4ccc(F)cc4,,6.787812396,,,,,
CC(C)(Cc1ccc(Oc2ccc(cn2)C(=O)N)cc1)NC[C@H](O)COc3cccc4NC(=O)N(CCC5CCC5)c34,,,,,8,,
OC[C@H](Cc1ccc(NC(=O)Nc2ccccc2)cc1)NC[C@H](O)c3cccc(Cl)c3,,,,,7.13076828,,
Cc1ccc(c(NCC2=NCCN2)c1)S(=O)(=O)C,,,,,,8.721246399,
[O-][S@+](Cc1cncs1)[C@@H](c2ccccc2)c3ccc(Br)cc3,,,4.649751982,,,,
COC(=O)[C@@H]([C@H]1CCCCN1)c2ccc3ccccc3c2,,7.958607315,,,,,
COc1cccc(OC)c1CNC(=O)c2cc3cc(C[C@@H](C)NC[C@H](O)c4ccc(O)c(CO)c4)ccc3n2C,,,,,,,9.151195299
CC(C)Cc1cc(ccc1C(=O)NS(=O)(=O)C)c2ccc(C[C@@H](C)NC[C@H](O)c3ccccc3)cc2,,,,7.13667714,10,,
NCC(O)c1ccc(O)c(O)c1F,,,,,,4.148741651,
O[C@@H](CNCCc1ccc(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1)COc3ccc(O)cc3,,,,,7.236572006,,
CC(C)(C)NCC1(O)CCN(CC1)c2nc(Oc3cccc(F)c3)cc(n2)C(F)(F)F,,,7.910094889,,,,
NCCCCNCCOC(c1ccccc1)c2ccccc2,,6.292429824,,,,,
CN1C2CCC1C(C(C2)c3ccc(Cl)cc3)c4oc(cn4)c5ccccc5,6.304518324,7.698970004,,,,,
CN(CCCN(C)CCc1ccccc1)CCOC(c2ccccc2)c3ccccc3,,,6.457174573,,,,
C(Oc1ccccc1c2ccccn2)C3=NCCN3,,,,,,7.886056648,
CCCCCc1oc(cn1)c2ccc(cc2)S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3,,,,,7.585026652,,
COC(=O)C1C2CCC(C[C@@H]1c3ccc(F)c(C)c3)N2C,,9.091514981,,,,,
COC(=O)[C@H]1[C@@H](CC2CC[C@H]1N2C)OC(=O)c3ccccc3,,7.494850022,,,,,
COC(=O)[C@H]([C@@H]1CCCCN1)c2ccc(F)cc2,,7.455931956,,,,,
O[C@@H](CNCCc1ccc(CCN2CCC(Cn3cnc(n3)[C@@](O)(C4CCCCC4)c5ccccc5)CC2)cc1)c6ccc(O)c7NC(=O)C=Cc67,,,,,,,7.677780705
O[C@@H](CNCCNc1cccc(c1)c2cncc(c2)C(=O)O)c3cccc(Cl)c3,,,,5.500038134,7.200659451,,5.400007822
Fc1cccc(Oc2cc(F)c(F)cc2N3CCC4(CCCNC4)C3)c1,,,7.93930216,,,,
CNCCC(Oc1ccccc1C)c2ccccc2,,,5.522878745,,,,
COC(=O)C1=C(CC2CCC1S2)c3ccc(F)cc3,,,6.657577319,,,,
C(CC1CCNCC1)Cc2c[nH]c3ccccc23,6.301029996,5.522878745,,,,,
C[C@H](Cc1c[nH]c2c(OS(=O)(=O)C)cccc12)NC[C@H](O)c3cccc(NS(=O)(=O)c4cccc(N)c4)c3,,,,7.886056648,,,7.585026652
CNC(=O)[C@@]12C[C@@H]1[C@H]([C@H](O)[C@@H]2O)n3cnc4c(NC)nc(nc34)C#Cc5ccc(Cl)s5,,,6.596879479,,,,
COC(=O)[C@H]1C2CCC(C[C@H]1c3ccc(s3)c4ccccc4)O2,,,6.312471039,,,,
