smiles,pEC50_rM1,pEC50_hM1,pEC50_hM2,pEC50_hM4,pEC50_rM4,pEC50_hM5,pKi_rM1,pKi_hM2,pKi_hM3,pIC50_hM2,pIC50_rM2,pIC50_hM3,pIC50_hM4,pIC50_hM5,pKi_hM4,pKi_hM5,pIC50_hM1,pIC50_rM1,pKi_hM1,pKi_rM2,pKi_rM3,pIC50_AChE_HouseMouse,pIC50_AChE_human,pIC50_AChE_Cow,pIC50_AChE_eel,pIC50_AChE_BrownRat,pIC50_BChE_human,pKi_AChE_eel,pKi_AChE_human,pKi_BChE_human
CCCSc1ccccc1CC2NCCc3c2[nH]c4ccccc34,,,,,,,,,,,,,,,4.0268721464003,,,,,,,,,,,,,,,
CCN(C)CCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(OCCN4CCCCC4)cc3,,,,,,,,,,,,,,,,,,,,,,7.09151498112135,,,,,,,,
CCN(CCCN1C(=O)c2ccccc2C1=O)Cc3ccccc3,,,,,,,,,,,,,,,,,,,,,,,,,5.48148606012211,5.95860731484177,,,,
Clc1ccc(Cn2cc(COC(=O)COC3=CC(=O)Oc4ccccc34)nn2)cc1,,,,,,,,,,,,,,,,,,,,,,,,,4.88605664769316,,,,,
Cc1ccc(OC2CCN(CC2)c3nc(C)nn4ccc(C)c34)cn1,,,,5.95860731484177,,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nnc(NCCSCc2oc(CN(C)C)cc2)c(c1CC)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,,,,,5.59516628338006,,,,,
CN(CCCOc1ccc2c(OC(=O)c3ccccc23)c1)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4,,,,,,,,,,,,,,,,,,,,,,,6.4089353929735,,,,,,,
COc1cccc(c1)C(=O)Oc2ccc(COC(=O)Nc3ccncc3N)cc2,,,,,,,,,,,,,,,,,,,,,,,,,3.78781239559604,,4.20971483596676,,,
CC(C)O[C@@H]1O[C@H](COC(=O)CC(C)(O)CC(=O)O[C@H](CC\C(=C\COc2c3C=CC(=O)Oc3cc4occc24)\C)C(C)(C)O)[C@@H](O)[C@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46980030179692,,,
COc1ccc(cc1OC)[C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c3ccc(CNC(C(=O)OC[C@H]4CCCN4C)c5ccccc5)s3,,,,,,,,,,,,8.25963731050576,,,,,,,,,,,,,,,,,,
COc1ccccc1CNCCCCCC=Nc2cc(O)c3ccccc3c2O,,,,,,,,,,,,,,,,,,,,,,,5.73282827159699,,,,,,,
Nc1cnccc1NC(=O)OCc2ccc(OC(=O)Cc3ccccc3)cc2,,,,,,,,,,,,,,,,,,,,,,,,,3.86742015234026,,4.49214412830417,,,4.51286162452281
COc1cc(CNCCCNCc2cc(OC)c3OCOc3c2)cc4OCOc14,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28141527997256,,,
C(Cc1noc2ccccc12)C3CCN(Cc4ccccc4)CC3,,,,,,,,,,,,,,,,,,,,,,,7.25963731050576,,,,,,,
CCC[C@H](NC(=O)OCC(F)(F)C(F)(F)C(F)(F)F)C(=O)N[C@H](C)c1nc2ccc(F)cc2s1,,,,,,,,,,,,,,,,,,,,,,,,,4.3371477667352,,4.22366209037982,,,
CCOC(=O)N1CCC(CC1)N2CCC[C@H](C2)NC(=O)c3cccc(Br)c3,5.69897000433602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(CCc1ccc(CN2C=CC(=[N+]3CCCC3)C=C2)cc1)Cc4ccc(CN5C=CC(=[N+]6CCCC6)C=C5)cc4,,,,,,,,,,,,,,,,,,,,,,,,6.98296666070122,,,6.17327747983101,,,
COc1cc2CC3(C(C4CSCN4C35C(=O)Nc6ccc(cc56)[N+](=O)[O-])c7ccc(F)cc7)C(=O)c2cc1OC,,,,,,,,,,,,,,,,,,,,,,,,,5.93554201077308,,,,,
CCC1=CC2CC(C1)c3c(C2)nc4oc(C)c(C)c4c3N,,,,,,,,,,,,,,,,,,,,,,,5.19044028536473,,,,,,,
COc1cc(\C=C\C(=O)Nc2ccccc2)ccc1OCCCCCN(C)C,,,,,,,,,,,,,,,,,,,,,,,7.48148606012211,,,,,,,
CCCn1c2C(=NCC)CCc2c3c(Br)c(OC(=O)NC)ccc13,,,,,,,,,,,,,,,,,,,,,,,6.63827216398241,,,,,,,
COc1ccc(cc1OC)[C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c3ccc(CNC(C(=O)OCC4CCCCN4C)c5ccccc5)s3,,,,,,,,,,,,7.25963731050576,,,,,,,,,,,,,,,,,,
Clc1ccc(cc1)C(=O)NP(=O)(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,1.06048074738138,,,,,,,
C(CCC[n+]1ccc2ccccc2c1)CCC[n+]3ccc4ccccc4c3,,,,,,,,,,,,,,,,,,,,,,,6.30102999566398,,,,,,,
O\N=C\C(=O)c1ccc(NCC2CCN(Cc3ccccc3)CC2)nc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54424179689586,
COc1cc2CC(CC3CCN(Cc4ccccc4C)CC3)C(=O)c2cc1OC,,,,,,,,,,,,,,,,,,,,,,8,6.61439372640169,,6.73518217699046,,,,,
CN1C2CCC1C=C(C2)c3ccc(Cl)nc3,,,,,,,,,,,5.37882371822496,,,,,,,5.66958622665081,,,,,,,,,,,,
Cl.O=C1\C(=C\c2ccc(OCCN3CCOCC3)cc2)\COc4cc(OCc5ccccc5)ccc14,,,,,,,,,,,,,,,,,,,,,,,,,5.19111413264019,,4.07717078033335,,,
COC(C)(C)\C=C\C[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@H](C3)C(C)(C)O)[C@@]1(C(=O)C(C)C)C2=O,,,,,,,,,,,,,,,,,,,,,,,5.1444808443322,,,,,,,
CC(C)N(CC#CCN1C(=O)CC2(C1=O)c3ccccc3c4ccccc24)C(C)C,,,,,,,5.79048498545737,,,,,,,,,,,,,,,,,,,,,,,
CN(C)Cc1oc(CSCCNc2cc(Nc3ccccc3C#N)c(cc2[N+](=O)[O-])[N+](=O)[O-])cc1,,,,,,,,,,,5.43179827593301,,,,,,,,,,,,6.20065945054642,,,,,,,
Nc1c2SCc3ccccc3c2nc4ccccc14,,,,,,,,,,,,,,,,,,,,,,,4.73095429034238,,,,,,,
COc1ccc2CC(CCc2c1)NC(=O)N(C)C,,,,,,,,,,,,,,,,,,,,,,,7.79588001734407,,,,,,9.17392519729917,
COc1ccc(cc1)N2CCN(CC2)C3=CC(=O)Oc4ccc(C)cc34,,,,,,,,,,,,,,,,,,,,,,,,,4.74472749489669,,,,,
CCC1=CC2CC(C1)c3c(C2)nc4cc(C)cc(C)c4c3N,,,,,,,,,,,,,,,,,,,,,,,8.3045183235098,8.44490555142168,,,,,,
C(CNCc1cccnc1)CN2CCN(CC(c3ccccc3)c4ccccc4)CC2,,,,,,,,,,,,,,,,,,,,,,,,,7.79588001734407,,7.55284196865778,,,
COc1cc2ccnc3c2c(COC3(CC(O)CO)OC)c1OC,,,,,,,,,,,,,,,,,,,,,,,4.01772876696043,,,,,,,
Fc1ccccc1C(=O)N2CCN(CC2)C3CCN(Cc4ccccc4)CC3,,,,,,,,,,,,,,,,,,,,,,,4.76955107862173,,,,,,,
CCCN(c1ccncc1)n2cc(CC)c3ccccc23,,,,,,,,,,,,,,,,,,,,,,,,,,4.69897000433602,,,,
O=S1CCN(CC1)c2nccc(NCc3ccccc3)n2,,,,,,,,,,,,,,,,,,,,,,,4.89962945488244,,,,,,,
CCN(CC)Cc1c(O)cccc1\C=C\2/COc3cc(OC)c(OC)cc3C2=O,,,,,,,,,,,,,,,,,,,,,,,,,4.42712839779952,,,,,
CC(C)CN1C(=O)C=CC2=C1CCCC2NCCc3ccc(Cl)c(Cl)c3,,,,,,,,,,,,,,,,,,,,,,,,,,4.63134128760777,,,,
CCCCNC(=O)OCCCCCCCCCCCCOC(=O)NCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79588001734407,
Nc1c2CCc3c(Cl)cccc3c2nc4ccccc14,,,,,,,,,,,,,,,,,,,,,,,,,,3.84133601918601,,,,
COc1ccc2ccccc2c1\C=C\c3cc[n+](C)cc3,,,,,,,,,,,,,,,,,,,,,,,,,,3.86966623150499,,,,
CN1C2[C@@](C)(CC[N+]2(C)C)c3cc(OC(=O)Nc4ccccc4)ccc13,,,,,,,,,,,,,,,,,,,,,,,7.59516628338006,,,,,,,
OC(=O)C(O)(c1ccccc1)c2ccccc2,,,,,,,,9.76955107862173,10.0555173278498,,,,,,10.431798275933,10.1870866433571,,,10.3565473235138,9.30102999566398,,,,,,,,,,
C[C@H](Cc1ccc(OCCCCCNc2c3CCCCc3nc4ccccc24)cc1)N(C)CC#C,,,,,,,,,,,,,,,,,,,,,,,,,7.10790539730952,,7.61978875828839,,,
COc1cc(ccc1C)[N+](C)(C)C,,,,,,,,,,,,,,,,,,,,,,,3.91199999973936,,8.92081875395237,,,,,
